companyName,description,description_word_count
Traton SE,"Traton SE manufactures commercial vehicles worldwide. It operates in Industrial Business and Financial Services segments. The company offers light and heavy-duty commercial vehicles, such as trucks and bus chassis; vans; construction vehicles; city buses; and intercity and travel coaches, as well as spare parts and services. It also provides a cloud-based platform for freight transportation under the RIO brand name. The company offers its products and services under the MAN, Scania, Navistar, and Volkswagen Caminhões e Ônibus brands. In addition, it provides a range of financial solutions, including dealer and customer finance, leasing, and insurance products. The company was founded in 2015 and is based in Munich, Germany. Traton SE is a subsidiary of Volkswagen Finance Luxemburg S.A.",118
2G Energy AG,"2G Energy AG, together with its subsidiaries, develops, manufactures, and installs combined heat and power (CHP) systems, and other systems for the recovery of electrical energy in Germany and internationally. It offers decentralized power and heat through gas motors driven by natural gas, biomethane, biogas, sewage gas, landfill gas, or hydrogen with an electrical output of 20 to 4,500 kW. The company's products include g-box, a natural gas CHP plant with the electrical output of 20 kW to 50 kW; aura, a CHP plant with the output range from 100 kW to 420 kW; patruus, a biogas and natural gas CHP plant with the output range from 50 kW to 263 kW; agenitor, a CHP plant with a capacity of 220 kW to 450 kW; and avus, a CHP plant with the electrical output range of 400 kW to 4.000 kW. It also engages in the rental and leasing of CHP plants. The company's products are used for various applications, such as biogas plants, office and administrative buildings, chemical and pharmaceutical industries, landfills, shopping centers, horticultural and agricultural holdings, hotels, industry and trade, sewage treatment plants, hospitals, food industry, public institutions, data processing centers, schools and universities, swimming pools, senior citizen centers, sports and leisure centers, heat grids, hydrogen, and residential buildings. The company was formerly known as 2G Bio-Energietechnik AG and changed its name to 2G Energy AG in 2011. 2G Energy AG was founded in 1995 and is headquartered in Heek, Germany.",244
MTU Aero Engines AG,"MTU Aero Engines AG, together with its subsidiaries, develops, manufactures, markets, and maintains commercial and military engines, and aero derivative industrial gas turbines in Germany, other European countries, North America, Asia, and internationally. It operates through two segments, Commercial and Military Engine Business; and Commercial Maintenance Business. The company offers commercial aircraft engines for wide body jets, narrow body and regional jets, and business jets; military aircraft engines for fighter aircraft, helicopters, and transport aircraft; and industrial gas turbines. It also maintains, repairs, and overhauls commercial and military engines; and manufactures and markets various brush seals. The company was formerly known as MTU Aero Engines Holding AG and changed its name to MTU Aero Engines AG in May 2013. MTU Aero Engines AG was founded in 1913 and is headquartered in Munich, Germany.",133
Deutsche Lufthansa AG,"Deutsche Lufthansa AG operates as an aviation company in Germany and internationally. The company's Network Airlines segment offers passenger services. Its Eurowings segment provides passenger services through a route network of more than 100 destinations in over 50 countries. The company's Logistics Business segment offers transport services for various cargoes, including general cargo, dangerous goods, valuables, vulnerable, perishables, live animals, courier, emergency, airmail/e-commerce, and temperature sensitive goods services approximately 300 destinations in 100 countries. Its Maintenance, Repair and Overhaul Services (MRO) segment provides maintenance, repair, and overhaul services for civilian commercial aircraft serving original equipment manufacturers and aircraft leasing companies, operators of VIP jets, and airlines. The company's Catering Business segment engages in-flight services and convenience retail, as well as other areas, such as retail and food producers. As of December 31, 2021, it had a fleet of 713 aircraft. Deutsche Lufthansa AG was founded in 1926 and is headquartered in Cologne, Germany.",153
Siemens Energy AG,"Siemens Energy AG operates as an energy technology company worldwide. It operates in two segments, Gas and Power; and Siemens Gamesa Renewable Energy. The company provides gas and steam turbines, generators, gas engines, instrumentation and controls, and electrical systems, as well as performance enhancement, maintenance, customer training, and professional consulting services for central and distributed power generation; and transformers, air and gas-insulated switchgears, AC transmission systems, offshore windfarm grid connections, high voltage direct current transmission systems, high voltage substations, digital solutions and components, and other products. It also offers rotating equipment that includes industrial and aero-derivative gas turbines, turbo- and reciprocating compressors, power generation products, and compression trains and modules, as well as solutions in the fields of electrification, automation and digitization, plant safety, plant security, and water treatment. In addition, the company develops technologies in the fields of decarbonized energy and storage systems. Further, it offers onshore wind turbine design, engineering, manufacturing, and installation solutions for onshore markets; offshore wind turbine equipment design, manufacturing, and installation solutions; and operation and maintenance services for wind farms. The company serves utilities, independent power producers, project developers, oil and gas, transmission and distribution system operators, and industrial and infrastructure customers. Siemens Energy AG was founded in 1866 and is based in Munich, Germany.",211
Siemens Aktiengesellschaft,"Siemens Aktiengesellschaft, a technology company, focuses in the areas of automation and digitalization in Europe, Commonwealth of Independent States, Africa, the Middle East, the Americas, Asia, and Australia. It operates through Digital Industries, Smart Infrastructure, Mobility, Siemens Healthineers, and Siemens Financial Services segments. The Digital Industries segment offers automation systems and software for factories, numerical control systems, motors, drives and inverters, and integrated automation systems for machine tools and production machines; process control systems, machine-to-machine communication products, sensors and radio frequency identification systems; software for production and product lifecycle management, and simulation and testing of mechatronic systems; and cloud-based industrial Internet of Things operating systems. The Smart Infrastructure segment offers products, systems, solutions, services, and software to support sustainable transition in energy generation from fossil and renewable sources; sustainable buildings and communities; and buildings, electrification, and electrical products. The Mobility segment provides passenger and freight transportation, such as vehicles, trams and light rail, and commuter trains, as well as trains and passenger coaches; locomotives for freight or passenger transport and solutions for automated transportation; products and solutions for rail automation; electrification products; and intermodal solutions. The Siemens Healthineers segment develops, manufactures, and sells various diagnostic and therapeutic products and services; and provides clinical consulting services. The Siemens Financial Services segment offers debt and equity investments; leasing, lending, and working capital financing solutions; and equipment, project, and structured financing solutions. Siemens Aktiengesellschaft was founded in 1847 and is headquartered in Munich, Germany.",241
Daimler Truck Holding AG,"Daimler Truck Holding AG manufactures and sells medium- and heavy-duty trucks and buses in Europe, North America, Asia, Latin America, and internationally. It operates through five segments: Mercedes-Benz, Trucks North America, Trucks Asia, Daimler Buses, and Financial Services. The company offers light, medium, and heavy-duty trucks; city and intercity buses, touring coaches, and bus chassis; industrial engines; and special vehicles that are primarily used in municipal applications, as well as electric vehicles and used commercial vehicles. It also provides various financial services, such as leasing, hire purchase, and insurance products under the Daimler Truck Financial Services brand name. In addition, the company offers connectivity solutions under the Detroit Connect, Fuso Connect, Mercedes-Benz Uptime, and Fleetboard brands; and aftersales services, such as maintenance and repair, as well as sells spare parts. It provides trucks and buses under the Mercedes-Benz, Freightliner, Western Star, FUSO, BharatBenz, Setra, and Thomas Built Buses brand names. The company was founded in 1896 and is headquartered in Leinfelden-Echterdingen, Germany.",162
Deutsche Post AG,"Deutsche Post AG operates as a mail and logistics company in Germany, rest of Europe, the Americas, the Asia Pacific, the Middle East, and Africa. The company operates through five segments: Express; Global Forwarding, Freight; Supply Chain; eCommerce Solutions; and Post & Parcel Germany. The Express segment offers time-definite courier and express services to business and private customers. The Global Forwarding, Freight segment provides air, ocean, and overland freight forwarding services; and offers multimodal and sector-specific solutions. This segment's business model is based on brokering transport services between customers and freight carriers. The Supply Chain segment delivers customized supply chain solutions to its customers based on modular components, including warehousing and transport services; and value-added services, such as e-fulfilment and returns management, lead logistics partner, real estate solutions, service logistics, and packaging solutions for various industrial sectors. The eCommerce Solutions segment provides parcel delivery and cross-border non-time definite international services. The Post & Parcel Germany segment transports and delivers mail communication, parcels, physical and hybrid letters, and special products for the delivery of goods; and offers additional services, such as registered mail, cash on delivery, and insured items. This segment also provides digital products, including stamps with data matrix codes and various postal services. Deutsche Post AG was founded in 1490 and is headquartered in Bonn, Germany.",217
Nordex SE,"Nordex SE, together with its subsidiaries, develops, manufactures, and distributes multi-megawatt onshore wind turbines worldwide. It operates through Projects and Services segments. The company provides project development services, as well as acquires rights and creates the infrastructure required to construct wind power systems at suitable locations. It also offers maintenance and remote monitoring services for wind farms, as well as spare parts, and repair and technical enhancement services for existing turbines. The company was incorporated in 1985 and is headquartered in Hamburg, Germany.",83
Rheinmetall AG,"Rheinmetall AG provides technologies to the mobility and security sectors worldwide. The company operates in five segments: Vehicle Systems, Weapon and Ammunition, Electronic Solutions, Sensors and Actuators, and Materials and Trade. The Vehicle Systems segment offers combat, support, logistics, and special vehicles, including armored tracked vehicles, CBRN protection systems, turret systems, and wheeled logistics and tactical vehicles. The Weapon and Ammunition segment provides threat-appropriate, effective and accurate firepower, and protection solutions, such as large and medium-caliber weapons and ammunition, weapon stations, protection systems, and propellants and powders. The Electronic Solutions segment offers a chain of systems network, such as sensors, networking platforms, automated connected effectors for soldiers, and cyberspace protection solutions, and training and simulation solutions. Its products include air defense systems; soldier systems; command, control, and reconnaissance systems; fire control systems; sensors; and simulations for the army, air force, navy, and civil applications. The Sensors and Actuators segment provides a portfolio of products comprising exhaust gas recirculation systems; throttle valves, control dampers, and exhaust flaps for electromotors; solenoid valves; actuators and valve train systems; oil, water, and vacuum pumps for passenger cars, commercial vehicles, and light and heavy-duty off-road applications; and industrial solutions. The Materials and Trade segment focuses on the development of system components for the basic motors, such as engine blocks, structural components, and cylinder heads; plain bearings, and bushes; and replacement parts. It also engages in the aftermarket activities. The company was formerly known as Rheinmetall Berlin AG and changed its name to Rheinmetall AG in 1996. Rheinmetall AG was founded in 1889 and is headquartered in Düsseldorf, Germany.",263
