question,expected_answer,rag_answer,decision,reason
What does Traton SE specialize in?,Traton SE manufactures commercial vehicles worldwide.,"Traton SE specializes in manufacturing commercial vehicles worldwide, including light and heavy-duty trucks, vans, construction vehicles, city buses, and intercity/travel coaches, along with spare parts and services. It also runs a cloud-based freight platform (RIO) and offers financial solutions (dealer and customer finance, leasing, insurance) under brands such as MAN, Scania, Navistar, and Volkswagen Caminhões e Ônibus.",True,"The predicted answer preserves the core: TRATON SE manufactures commercial vehicles worldwide, and it also provides accurate extra details (spare parts/services, RIO platform, financial services, and brand lineup)."
Which company operates in the aviation industry?,Deutsche Lufthansa AG operates in the aviation industry.,"- Deutsche Lufthansa AG: Described as an aviation company operating passenger and cargo services.
- Lilium N.V.: Described as developing electric vertical takeoff and landing aircraft for high-speed air transport; Industry is listed as Aviation.",True,"It correctly identifies Deutsche Lufthansa AG as operating in aviation, and the additional Lilium N.V. mention is also an aviation company, not contradictory."
What type of products does 2G Energy AG produce?,2G Energy AG produces combined heat and power (CHP) systems.,"2G Energy AG produces combined heat and power (CHP) systems/plants. Their lineup includes natural gas and biogas CHP plants such as g-box (20–50 kW), aura (100–420 kW), patruus (50–263 kW), agenitor (220–450 kW), and avus (400–4,000 kW), plus CHP plant rental/leasing.",True,"It correctly states that 2G Energy AG produces combined heat and power (CHP) systems, with the rest being additional details."
Name a company that is involved in energy technology solutions.,Siemens Energy AG is involved in energy technology solutions.,Siemens Energy AG. It is described as an energy technology company operating worldwide.,True,The predicted answer correctly names Siemens Energy AG as a company involved in energy technology solutions.
Which company is involved in the manufacturing of aircraft engines?,MTU Aero Engines AG manufactures aircraft engines.,"MTU Aero Engines AG. It develops, manufactures, markets, and maintains commercial and military engines.",True,It correctly identifies MTU Aero Engines AG and states that it manufactures aircraft engines (with additional accurate details).
What sector does Deutsche Lufthansa AG operate in?,Deutsche Lufthansa AG operates in the aviation sector.,It operates in the Aviation industry.,True,The predicted answer identifies the same sector (aviation) using a synonymous term (industry).
Identify a company that produces commercial vehicles.,Traton SE produces commercial vehicles.,"Traton SE. It manufactures commercial vehicles worldwide, offering trucks, buses, vans, construction vehicles, spare parts and services, and operates a cloud-based freight platform (RIO) under brands such as MAN, Scania, Navistar, and Volkswagen Caminhões e Ônibus.",True,"Identifies Traton SE as a company that produces commercial vehicles, matching the expected answer."
What does Siemens Energy AG specialize in?,Siemens Energy AG specializes in energy technology solutions.,"Siemens Energy AG specializes in energy technology. It provides equipment and services for power generation and transmission, including gas and steam turbines, generators, transformers, switchgears, AC and HVDC transmission systems, offshore and onshore wind turbine design and maintenance; it also develops decarbonized energy technologies and storage systems, plus digital, electrification, automation, plant safety/security, and water treatment solutions, along with maintenance, training, and consulting services.",True,"It describes Siemens Energy as focused on energy technology and related equipment/services, which matches the core specialization in energy technology solutions."
Which company is involved in both energy and transportation sectors?,"Traton SE is involved in the transportation sector, and Siemens Energy AG is involved in the energy sector.","BayWa Aktiengesellschaft. It has Renewable Energies activities (planning, building wind farms and solar parks and power production) and Energy segment offerings in electromobility, liquified natural gas, and digital mobility—covering both energy and transportation sectors.",False,The expected answer lists two separate companies (Traton SE for transportation and Siemens Energy AG for energy); BayWa is not identified as the company involved in both sectors.
What industry does MTU Aero Engines AG operate in?,MTU Aero Engines AG operates in the aerospace industry.,Aerospace and Defense.,False,"It adds ""Defense"" to the industry, whereas the expected answer specifies only ""aerospace industry."""
